timestamp,open,high,low,close,volume,symbol
2026-07-10 09:30:00,357.5249938964844,357.82000732421875,354.5400085449219,356.07000732421875,995678,GOOGL
2026-07-10 09:31:00,356.1650085449219,356.3900146484375,355.20001220703125,355.20001220703125,95965,GOOGL
2026-07-10 09:32:00,355.114990234375,355.82000732421875,354.5,355.7699890136719,106057,GOOGL
2026-07-10 09:33:00,355.739990234375,356.6899108886719,355.6199951171875,356.6300048828125,87653,GOOGL
2026-07-10 09:34:00,356.635009765625,356.92999267578125,356.2799987792969,356.8500061035156,74014,GOOGL
2026-07-10 09:35:00,356.7672119140625,357.07000732421875,356.01348876953125,356.7300109863281,118751,GOOGL
2026-07-10 09:36:00,356.7300109863281,357.3900146484375,356.7300109863281,356.7749938964844,130923,GOOGL
2026-07-10 09:37:00,356.7799987792969,357.197509765625,356.5299987792969,356.9599914550781,73469,GOOGL
2026-07-10 09:38:00,356.9750061035156,357.17999267578125,356.44000244140625,356.93499755859375,67538,GOOGL
2026-07-10 09:39:00,356.93499755859375,357.3500061035156,356.635009765625,357.0950012207031,54475,GOOGL
2026-07-10 09:40:00,357.05999755859375,357.6600036621094,356.9700012207031,357.4750061035156,59108,GOOGL
2026-07-10 09:41:00,357.4849853515625,357.7300109863281,356.7349853515625,356.92999267578125,78209,GOOGL
2026-07-10 09:42:00,356.92999267578125,356.9800109863281,355.75,355.9150085449219,59681,GOOGL
2026-07-10 09:43:00,355.8599853515625,356.45001220703125,355.8399963378906,356.2099914550781,64716,GOOGL
2026-07-10 09:44:00,356.17498779296875,356.5299987792969,355.8900146484375,356.114990234375,34796,GOOGL
2026-07-10 09:45:00,356.114990234375,356.19000244140625,355.55999755859375,355.5799865722656,81203,GOOGL
2026-07-10 09:46:00,355.6600036621094,356.1499938964844,355.57000732421875,355.7799987792969,68196,GOOGL
2026-07-10 09:47:00,355.7699890136719,356.20989990234375,355.7300109863281,356.20989990234375,51068,GOOGL
2026-07-10 09:48:00,356.17498779296875,356.2200012207031,355.8399963378906,356.20001220703125,40491,GOOGL
2026-07-10 09:49:00,356.2200012207031,356.2900085449219,355.80999755859375,356.0799865722656,49248,GOOGL
2026-07-10 09:50:00,356.0799865722656,356.3299865722656,355.9200134277344,355.989990234375,53677,GOOGL
2026-07-10 09:51:00,355.94000244140625,356.1199951171875,355.739990234375,355.94989013671875,55693,GOOGL
2026-07-10 09:52:00,355.90008544921875,356.2398986816406,355.78009033203125,356.1099853515625,40369,GOOGL
2026-07-10 09:53:00,356.1050109863281,356.1050109863281,355.4100036621094,356.0400085449219,55445,GOOGL
2026-07-10 09:54:00,356.0400085449219,356.56500244140625,355.8399963378906,356.4800109863281,68786,GOOGL
